TimeStamp,Open,High,Low,Close,Time
1636848000,4644.27,4696.05,4593.84,4598.4,2021-11-14 08:00:00
1636876800,4598.77,4634.64,4567.02,4583.91,2021-11-14 16:00:00
1636905600,4583.91,4631.75,4514.12,4626.5,2021-11-15 00:00:00
1636934400,4626.5,4735.16,4625.99,4680.25,2021-11-15 08:00:00
1636963200,4680.24,4772.01,4628.82,4648.08,2021-11-15 16:00:00
1636992000,4648.08,4659.9,4540.0,4563.78,2021-11-16 00:00:00
1637020800,4563.77,4563.77,4252.78,4312.11,2021-11-16 08:00:00
1637049600,4312.42,4345.78,4103.0,4285.82,2021-11-16 16:00:00
1637078400,4285.82,4330.0,4162.67,4209.76,2021-11-17 00:00:00
1637107200,4209.59,4242.76,4063.48,4183.67,2021-11-17 08:00:00
1637136000,4183.62,4262.0,4101.73,4174.76,2021-11-17 16:00:00
1637164800,4174.77,4299.91,4147.03,4287.8,2021-11-18 00:00:00
1637193600,4288.07,4344.81,4225.1,4247.99,2021-11-18 08:00:00
1637222400,4248.0,4260.82,4050.01,4071.77,2021-11-18 16:00:00
1637251200,4071.76,4092.6,3956.44,3996.9,2021-11-19 00:00:00
1637280000,3996.9,4104.61,3973.01,4062.04,2021-11-19 08:00:00
1637308800,4062.04,4238.5,4061.41,4216.17,2021-11-19 16:00:00
1637337600,4216.72,4308.97,4207.27,4294.76,2021-11-20 00:00:00
1637366400,4294.75,4332.95,4262.06,4279.99,2021-11-20 08:00:00
1637395200,4279.98,4334.12,4211.38,4213.06,2021-11-20 16:00:00
1637424000,4213.05,4435.88,4199.86,4412.17,2021-11-21 00:00:00
1637452800,4412.17,4415.64,4326.19,4348.13,2021-11-21 08:00:00
1637481600,4348.13,4385.0,4303.07,4366.21,2021-11-21 16:00:00
1637510400,4366.41,4451.0,4242.41,4258.31,2021-11-22 00:00:00
1637539200,4259.7,4266.62,4094.73,4188.17,2021-11-22 08:00:00
1637568000,4188.17,4320.0,4126.91,4236.6,2021-11-22 16:00:00
1637596800,4236.59,4246.69,4022.74,4085.97,2021-11-23 00:00:00
1637625600,4086.28,4192.86,4062.61,4107.09,2021-11-23 08:00:00
1637654400,4107.1,4329.37,4059.62,4269.55,2021-11-23 16:00:00
1637683200,4270.2,4385.59,4269.86,4339.44,2021-11-24 00:00:00
1637712000,4339.45,4373.94,4216.75,4269.37,2021-11-24 08:00:00
1637740800,4269.37,4342.27,4167.65,4252.35,2021-11-24 16:00:00
1637769600,4252.35,4282.19,4198.84,4269.36,2021-11-25 00:00:00
1637798400,4270.1,4336.0,4248.27,4295.39,2021-11-25 08:00:00
1637827200,4295.4,4500.0,4270.65,4475.65,2021-11-25 16:00:00
1637856000,4475.65,4550.0,4459.79,4524.85,2021-11-26 00:00:00
1637884800,4524.48,4551.0,4313.0,4343.45,2021-11-26 08:00:00
1637913600,4343.45,4343.45,3913.0,4063.94,2021-11-26 16:00:00
1637942400,4063.95,4127.78,4023.0,4041.2,2021-11-27 00:00:00
1637971200,4041.2,4149.0,4028.34,4123.82,2021-11-27 08:00:00
1638000000,4123.81,4183.66,4104.94,4132.82,2021-11-27 16:00:00
1638028800,4133.08,4159.31,4031.91,4095.29,2021-11-28 00:00:00
1638057600,4095.29,4096.18,3976.75,4069.31,2021-11-28 08:00:00
1638086400,4069.32,4130.78,4033.33,4077.74,2021-11-28 16:00:00
1638115200,4077.74,4298.51,3964.0,4294.78,2021-11-29 00:00:00
1638144000,4294.77,4375.0,4282.07,4350.74,2021-11-29 08:00:00
1638172800,4350.66,4390.0,4276.89,4336.08,2021-11-29 16:00:00
1638201600,4336.07,4458.92,4328.32,4444.53,2021-11-30 00:00:00
1638230400,4444.54,4502.6,4346.36,4412.82,2021-11-30 08:00:00
1638259200,4412.81,4753.0,4390.94,4613.85,2021-11-30 16:00:00
1638288000,4613.85,4694.46,4520.01,4630.26,2021-12-01 00:00:00
1638316800,4630.25,4778.75,4598.77,4766.69,2021-12-01 08:00:00
1638345600,4766.69,4769.51,4651.46,4725.57,2021-12-01 16:00:00
1638374400,4725.58,4758.0,4523.99,4582.95,2021-12-02 00:00:00
1638403200,4582.95,4621.35,4451.0,4560.11,2021-12-02 08:00:00
1638432000,4560.11,4634.83,4480.0,4543.06,2021-12-02 16:00:00
1638460800,4543.05,4558.11,4433.0,4511.21,2021-12-03 00:00:00
1638489600,4511.35,4592.82,4470.0,4568.57,2021-12-03 08:00:00
1638518400,4568.56,4654.88,4456.41,4468.15,2021-12-03 16:00:00
1638547200,4468.14,4468.74,4032.5,4215.73,2021-12-04 00:00:00
1638576000,4215.01,4238.59,3503.68,3893.51,2021-12-04 08:00:00
1638604800,3893.51,4070.0,3823.98,4036.54,2021-12-04 16:00:00
1638633600,4036.55,4135.56,3975.46,4117.25,2021-12-05 00:00:00
1638662400,4117.25,4229.63,4064.2,4199.52,2021-12-05 08:00:00
1638691200,4199.52,4248.19,4031.39,4070.07,2021-12-05 16:00:00
1638720000,4070.07,4204.27,4063.36,4196.44,2021-12-06 00:00:00
1638748800,4196.44,4202.16,4014.5,4071.98,2021-12-06 08:00:00
1638777600,4071.99,4149.2,3921.0,4125.41,2021-12-06 16:00:00
1638806400,4125.41,4376.15,4096.38,4347.59,2021-12-07 00:00:00
1638835200,4347.57,4386.91,4298.59,4352.9,2021-12-07 08:00:00
1638864000,4352.91,4425.0,4330.59,4386.59,2021-12-07 16:00:00
1638892800,4386.59,4405.0,4255.92,4306.4,2021-12-08 00:00:00
1638921600,4306.4,4379.03,4275.06,4367.31,2021-12-08 08:00:00
1638950400,4367.32,4450.49,4222.95,4403.22,2021-12-08 16:00:00
1638979200,4403.22,4442.0,4360.0,4436.91,2021-12-09 00:00:00
1639008000,4436.91,4488.0,4339.45,4379.22,2021-12-09 08:00:00
1639036800,4379.22,4379.22,4137.91,4201.35,2021-12-09 16:00:00
1639065600,4201.36,4234.63,4076.16,4105.64,2021-12-10 00:00:00
1639094400,4105.64,4199.87,4021.49,4031.01,2021-12-10 08:00:00
1639123200,4031.35,4231.08,3985.0,4022.9,2021-12-10 16:00:00
1639152000,4022.91,4057.75,3887.37,3897.94,2021-12-11 00:00:00
1639180800,3898.31,4071.57,3828.22,3977.79,2021-12-11 08:00:00
1639209600,3978.11,4086.9,3964.61,4058.08,2021-12-11 16:00:00
1639238400,4058.01,4097.08,3977.74,4089.37,2021-12-12 00:00:00
1639267200,4089.68,4097.27,4006.02,4055.9,2021-12-12 08:00:00
1639296000,4055.9,4060.0,3986.25,4024.68,2021-12-12 16:00:00
1639324800,4024.67,4173.63,4015.85,4130.0,2021-12-13 00:00:00
1639353600,4130.0,4142.75,3953.89,3987.07,2021-12-13 08:00:00
1639382400,3987.08,4032.0,3764.12,3810.99,2021-12-13 16:00:00
1639411200,3810.99,3875.12,3671.45,3781.93,2021-12-14 00:00:00
1639440000,3781.92,3833.0,3685.0,3783.29,2021-12-14 08:00:00
1639468800,3783.28,3865.09,3762.41,3785.95,2021-12-14 16:00:00
1639497600,3785.95,3882.74,3723.54,3858.99,2021-12-15 00:00:00
1639526400,3858.99,3896.0,3803.2,3863.68,2021-12-15 08:00:00
1639555200,3863.67,3900.0,3653.41,3659.38,2021-12-15 16:00:00
1639584000,3659.38,4092.22,3643.73,4019.08,2021-12-16 00:00:00
1639612800,4019.54,4058.47,3978.46,4021.68,2021-12-16 08:00:00
1639641600,4021.69,4113.43,4005.95,4082.0,2021-12-16 16:00:00
1639670400,4081.3,4110.53,3942.11,3958.11,2021-12-17 00:00:00
1639699200,3959.11,3994.1,3852.0,3881.54,2021-12-17 08:00:00
1639728000,3881.55,3896.1,3700.0,3834.55,2021-12-17 16:00:00
1639756800,3834.55,3945.0,3822.66,3875.42,2021-12-18 00:00:00
1639785600,3875.43,3937.0,3767.01,3890.43,2021-12-18 08:00:00
1639814400,3890.43,3994.68,3875.74,3945.41,2021-12-18 16:00:00
1639843200,3945.41,3996.93,3907.45,3959.93,2021-12-19 00:00:00
1639872000,3959.93,4032.43,3884.89,3977.0,2021-12-19 08:00:00
1639900800,3976.99,3998.0,3897.6,3927.26,2021-12-19 16:00:00
1639929600,3927.25,3991.0,3884.0,3924.14,2021-12-20 00:00:00
1639958400,3924.14,3983.37,3807.56,3823.97,2021-12-20 08:00:00
1639987200,3823.97,3848.21,3753.0,3800.77,2021-12-20 16:00:00
1640016000,3800.77,3968.23,3792.08,3944.73,2021-12-21 00:00:00
1640044800,3944.72,4055.0,3913.21,4003.21,2021-12-21 08:00:00
1640073600,4003.37,4063.0,3959.66,3978.21,2021-12-21 16:00:00
1640102400,3978.6,4042.77,3972.01,4014.15,2021-12-22 00:00:00
1640131200,4014.41,4074.87,3992.03,4047.24,2021-12-22 08:00:00
1640160000,4047.25,4063.07,3933.4,4007.24,2021-12-22 16:00:00
1640188800,4007.18,4033.32,3955.51,3979.51,2021-12-23 00:00:00
1640217600,3979.51,4005.0,3901.0,3911.6,2021-12-23 08:00:00
1640246400,3911.6,3965.5,3893.23,3950.65,2021-12-23 16:00:00
1640275200,3950.64,4150.0,3945.58,4111.41,2021-12-24 00:00:00
1640304000,4111.41,4129.0,4060.94,4088.67,2021-12-24 08:00:00
1640332800,4088.35,4118.05,4048.22,4094.23,2021-12-24 16:00:00
1640361600,4094.23,4134.84,4017.17,4046.36,2021-12-25 00:00:00
1640390400,4046.35,4075.86,4018.62,4052.91,2021-12-25 08:00:00
1640419200,4052.91,4104.08,4021.94,4079.04,2021-12-25 16:00:00
1640448000,4079.04,4137.91,4037.0,4094.83,2021-12-26 00:00:00
1640476800,4094.36,4102.44,4000.0,4037.27,2021-12-26 08:00:00
1640505600,4037.28,4068.0,4012.0,4053.85,2021-12-26 16:00:00
1640534400,4053.84,4105.0,4042.69,4063.56,2021-12-27 00:00:00
1640563200,4063.57,4087.56,4047.37,4051.01,2021-12-27 08:00:00
1640592000,4051.02,4115.0,4031.8,4092.73,2021-12-27 16:00:00
1640620800,4092.74,4127.46,4031.0,4037.23,2021-12-28 00:00:00
1640649600,4037.22,4037.23,3877.0,3917.0,2021-12-28 08:00:00
1640678400,3917.01,3933.98,3850.14,3897.9,2021-12-28 16:00:00
1640707200,3897.91,3902.17,3759.36,3792.75,2021-12-29 00:00:00
1640736000,3792.75,3827.78,3785.0,3796.39,2021-12-29 08:00:00
1640764800,3796.39,3825.5,3696.65,3795.05,2021-12-29 16:00:00
1640793600,3795.05,3799.32,3604.2,3630.19,2021-12-30 00:00:00
1640822400,3630.18,3719.71,3585.0,3709.01,2021-12-30 08:00:00
1640851200,3709.0,3750.0,3678.79,3708.74,2021-12-30 16:00:00
1640880000,3709.13,3769.1,3681.33,3709.27,2021-12-31 00:00:00
1640908800,3709.27,3761.5,3684.04,3721.88,2021-12-31 08:00:00
1640937600,3721.88,3815.0,3714.0,3784.64,2021-12-31 16:00:00
1640966400,3784.64,3788.45,3622.29,3676.23,2022-01-01 00:00:00
1640995200,3676.22,3765.27,3676.22,3715.31,2022-01-01 08:00:00
1641024000,3715.32,3745.36,3673.46,3725.3,2022-01-01 16:00:00
1641052800,3725.29,3776.45,3718.71,3765.54,2022-01-02 00:00:00
1641081600,3765.54,3771.0,3717.3,3747.22,2022-01-02 08:00:00
1641110400,3747.22,3790.38,3730.33,3778.17,2022-01-02 16:00:00
1641139200,3778.17,3857.44,3771.91,3828.27,2022-01-03 00:00:00
1641168000,3828.11,3828.79,3775.7,3808.88,2022-01-03 08:00:00
1641196800,3808.88,3853.09,3777.0,3784.04,2022-01-03 16:00:00
1641225600,3784.04,3795.0,3680.0,3765.89,2022-01-04 00:00:00
1641254400,3765.89,3774.36,3713.11,3746.48,2022-01-04 08:00:00

